title,artist,Track Name,Artist Name(s)
It's A Mistake,Men At Work,It's a Mistake,Men At Work
It's A Shame,Spinners,It's A Shame,The Spinners
It's Impossible,Perry Como,It's Impossible,Perry Como
It's No Crime,Babyface,It's No Crime,Babyface
It's Now Or Never,John Schneider,It's Now Or Never,John Schneider
It's Only Make Believe,Glen Campbell,It's Only Make Believe,Glen Campbell
It's So Easy,Linda Ronstadt,It's so Easy,Linda Ronstadt
It's The Same Old Song,Four Tops,It's The Same Old Song - Single Version / Mono,Four Tops
It's Time,Imagine Dragons,It's Time,Imagine Dragons
Jamboree,Naughty By Nature,Jamboree (feat. Zhané) - Radio Mix,"Naughty By Nature, Zhané"
Jealousy,Natalie Merchant,Jealousy,Natalie Merchant
"Jesus, take the Wheel",Carrie Underwood,"Jesus, Take the Wheel",Carrie Underwood
Jet,Paul McCartney,Jet,"Paul McCartney, Wings"
Judy's Turn To Cry,Lesley Gore,Judy's Turn To Cry,Lesley Gore
Just A Friend,Biz Markie,Just a Friend,Biz Markie
Just Fine,Mary J. Blige,Just Fine,Mary J. Blige
Just Like Jesse James,Cher,Just Like Jesse James,Cher
Just Lose It,Eminem,Just Lose It,Eminem
Just One Look,Doris Troy,Just One Look,Doris Troy
Just Take My Heart,Mr. Big,Just Take My Heart - 2010 Remastered Version,Mr. Big
Just To See Her,Smokey Robinson,Just To See Her,Smokey Robinson
Justified And Ancient,KLF,Justified & Ancient,The KLF
Keep Coming Back,Richard Marx,Keep Coming Back,Richard Marx
Keep It Comin',Keith Sweat,Keep It Comin',Keith Sweat
Keep On Movin',Soul II Soul,Keep On Movin' - Mafia And Fluxy Mix,"Soul II Soul, Caron Wheeler, Fluxy, Mafia"
"Keep On, Keepin' On",Mc Lyte,"Keep On, Keepin' On (feat. Xscape)","MC Lyte, Xscape"
Keep Searchin',Del Shannon,Keep Searchin',Del Shannon
Kick The Dust Up,Luke Bryan,Kick The Dust Up,Luke Bryan
Kids In America,Kim Wilde,Kids In America,Kim Wilde
King For A Day,Thompson Twins,King for a Day,Thompson Twins
King Of Anything,Sara Bareilles,King of Anything,Sara Bareilles
Kissing A Fool,George Michael,Kissing a Fool,George Michael
Knee Deep,Zac Brown Band,Knee Deep (feat. Jimmy Buffett),"Zac Brown Band, Jimmy Buffett"
"Knowing Me, Knowing You",ABBA,"Knowing Me, Knowing You",ABBA
La La La,Naughty Boy,La La La,"Naughty Boy, Sam Smith"
Lawyers In Love,Jackson Browne,Lawyers in Love,Jackson Browne
Lay Me Down,Sam Smith,Lay Me Down,Sam Smith
Lay Your Hands On Me,Thompson Twins,Lay Your Hands On Me,Thompson Twins
Lay Your Hands On Me,Bon Jovi,Lay Your Hands On Me,Bon Jovi
Lesson In Leavin',Jo Dee Messina,Lesson In Leavin',Jo Dee Messina
Let It Go,Ray J,Let It Go,Ray J
Let The Four Winds Blow,Fats Domino,Let The Four Winds Blow,Fats Domino
Let's Get It Started,Black Eyed Peas,Let's Get It Started,Black Eyed Peas
Let's Get Rocked,Def Leppard,Let's Get Rocked - Live,Def Leppard
Let's Twist Again,Chubby Checker,Let's Twist Again,Chubby Checker
Letters from Home,John Michael Montgomery,Letters from Home,John Michael Montgomery
Life After You,Daughtry,Life After You,Daughtry
Life is a Highway,Rascal Flatts,Life is a Highway,Rascal Flatts
Life's Been Good,Joe Walsh,Life's Been Good,Joe Walsh
Like A Stone,Audioslave,Like a Stone,Audioslave
Like I Love You,Justin Timberlake,Like I Love You,Justin Timberlake
Like I'm Gonna Lose You,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend"
Little Bitty Girl,Bobby Rydell,Little Bitty Girl,Bobby Rydell
Little Town Flirt,Del Shannon,Little Town Flirt,Del Shannon
Live Like You Were Dying,Tim McGraw,Live Like You Were Dying,Tim McGraw
Livin' It Up,Ja Rule,Livin' It Up,"Ja Rule, Case"
Livin' On The Edge,Aerosmith,Livin' On The Edge,Aerosmith
Livin' Thing,Electric Light Orchestra,Livin' Thing,Electric Light Orchestra
Livin' it Up,Ja Rule,Livin' It Up,"Ja Rule, Case"
Living and Living Well,George Strait,Living And Living Well,George Strait
Lonely Days,Bee Gees,Lonely Days,Bee Gees
Lonely Ol' Night,John Cougar Mellencamp,Lonely Ol' Night,John Mellencamp
Lonely People,America,Lonely People,America
Long Tall Glasses,Leo Sayer,Long Tall Glasses (I Can Dance),Leo Sayer
Long Time Gone,Dixie Chicks,Long Time Gone,The Chicks
Lose My Breath,Destiny's Child,Lose My Breath,Destiny's Child
Louie Louie,Kingsmen,Louie Louie,The Kingsmen
Love,Keyshia Cole,Love,Keyshia Cole
Love Her Madly,Doors,Love Her Madly,The Doors
Love In An Elevator,Aerosmith,Love In An Elevator - Single Version,Aerosmith
Love Is A Hurtin' Thing,Lou Rawls,Love Is A Hurtin' Thing,Lou Rawls
Love Me Tonight,Tom Jones,Love Me Tonight,Tom Jones
Love Me Warm And Tender,Paul Anka,Love Me Warm And Tender,Paul Anka
Love Never Felt So Good,Michael Jackson,Love Never Felt So Good,"Michael Jackson, Justin Timberlake"
Love Of My Life,Erykah Badu,Love Of My Life (An Ode To Hip Hop),"Erykah Badu, Common"
Love Remains The Same,Gavin Rossdale,Love Remains the Same,Gavin Rossdale
Love Shack,B-52s,Love Shack,The B-52's
Love Sneakin' Up On You,Bonnie Raitt,Love Sneakin' Up On You,Bonnie Raitt
Love So Right,Bee Gees,Love So Right,Bee Gees
Love Takes Time,Mariah Carey,Love Takes Time,Mariah Carey
Love Touch,Rod Stewart,"Love Touch (Theme from ""Legal Eagles"")",Rod Stewart
Love Will Conquer All,Lionel Richie,"Love Will Conquer All - 12"" Version",Lionel Richie
Love You Down,Ready For The World,Love You Down,Ready For The World
"Lover, Lover",Jerrod Niemann,"Lover, Lover",Jerrod Niemann
Loverboy,Mariah Carey,Loverboy,"Mariah Carey, Cameo"
Lovestoned,Justin Timberlake,Lovestoned (In the Style of Justin Timberlake) - Instrumental Only,ProSource Karaoke
Magic,Cars,Magic - 2017 Remaster,The Cars
Major Tom,Peter Schilling,Major Tom,Peter Schilling
Make A Move On Me,Olivia Newton-John,Make A Move On Me - Remastered 2021,Olivia Newton-John
Make You Sweat,Keith Sweat,Make You Sweat,Keith Sweat
Mama Said,Shirelles,Mama Said,The Shirelles
Mama's Broken Heart,Miranda Lambert,Mama's Broken Heart,Miranda Lambert
Mama's Pearl,Jackson 5,Mama's Pearl,The Jackson 5
Man On Your Mind,Little River Band,Man On Your Mind - Remastered 2010,Little River Band
Man! I Feel Like A Woman!,Shania Twain,Man! I Feel Like A Woman!,Shania Twain
Mary Jane's Last Dance,Tom Petty and The Heartbreakers,Mary Jane's Last Dance,Tom Petty and the Heartbreakers
Masterpiece,Temptations,Masterpiece,The Temptations
Meet Me Half Way,Kenny Loggins,"Meet Me Half Way - From ""Over The Top"" Soundtrack",Kenny Loggins
Mentirosa,Mellow Man Ace,Mentirosa,Mellow Man Ace
Message To Michael,Dionne Warwick,Message to Michael,Dionne Warwick
Method Of Modern Love,Daryl Hall and John Oates,Method of Modern Love,Daryl Hall & John Oates
Midnight Blue,Lou Gramm,Midnight Blue,Lou Gramm
"Mighty Love, Pt. 1",Spinners,Mighty Love,The Spinners
Mirage,Tommy James and The Shondells,Mirage - Single Version,Tommy James & The Shondells
Mirror Mirror,Diana Ross,Mirror Mirror,Diana Ross
Misery,Soul Asylum,Misery,Soul Asylum
Miss Sun,Boz Scaggs,Miss Sun,Boz Scaggs
Missing You Now,Michael Bolton,Missing You Now (feat. Kenny G),"Michael Bolton, Kenny G"
Mississippi Girl,Faith Hill,Mississippi Girl,Faith Hill
Mississippi Queen,Mountain,Mississippi Queen,Mountain
Misty,Ray Stevens,Misty,Ray Stevens
Modern Girl,Sheena Easton,Modern Girl,Sheena Easton
Money,Pink Floyd,Money,Pink Floyd
Money Honey,Bay City Rollers,Money Honey,Bay City Rollers
Money Maker,Ludacris,Money Maker,"Ludacris, Pharrell Williams"
More And More,Captain Hollywood Project,More And More - Single Version,Captain Hollywood Project
Motorcycle Mama,Sailcat,Motorcycle Mama,Sailcat
Mr. Vain,Culture Beat,Mr. Vain - Original Radio Edit,Culture Beat
Mrs. Officer,Lil Wayne,Mrs. Officer,"Lil Wayne, Bobby V., Kidd Kidd"
Music,Erick Sermon,Music (feat. Marvin Gaye),"Erick Sermon, Marvin Gaye"
Muskrat Love,Captain and Tennille,Muskrat Love,Captain & Tennille
My Best Friend,Tim McGraw,My Best Friend,Tim McGraw
My Home Town,Paul Anka,My Home Town,Paul Anka
My Kind Of Girl,Matt Monroe,My Kind of Girl,Matt Monro
My Last,Big Sean,My Last,"Big Sean, Chris Brown"
My Life,Game,My Life,"The Game, Lil Wayne"
My List,Toby Keith,My List,Toby Keith
My Whole World Ended,David Ruffin,My Whole World Ended (The Moment You Left Me),David Ruffin
My World Is Empty Without You,Supremes,My World Is Empty Without You,The Supremes
Naked Eye,Luscious Jackson,Naked Eye,Luscious Jackson
Naturally,Selena Gomez,Naturally,Selena Gomez & The Scene
Needles And Pins,Searchers,Needles and Pins - Mono,The Searchers
Never Tear Us Apart,INXS,Never Tear Us Apart,INXS
Night Changes,One Direction,Night Changes,One Direction
Nikita,Elton John,Nikita,Elton John
"No More ""I Love You's""",Annie Lennox,"No More ""I Love You's""",Annie Lennox
No More Drama,Mary J. Blige,No More Drama,Mary J. Blige
No One Else,Total,No One Else (feat. Da Brat),"Total, Da Brat"
"No Shoes, No Shirt, No Problems",Kenny Chesney,"No Shoes, No Shirt, No Problems",Kenny Chesney
No Time,Lil' Kim,No Time,Lil' Kim
Nobody Does It Better,Carly Simon,Nobody Does It Better,"Marvin Hamlisch, Carly Simon"
Nobody Told Me,John Lennon,Nobody Told Me - Remastered 2010,John Lennon
Nothin' But A Good Time,Poison,Nothin' But A Good Time - Live,Poison
Nowhere Man,Beatles,Nowhere Man - Remastered 2009,The Beatles
Number One Spot,Ludacris,Number One Spot,Ludacris
O,Omarion,O,Omarion
O.P.P.,Naughty By Nature,O.P.P,Naughty By Nature
Off The Wall,Michael Jackson,Off the Wall,Michael Jackson
Oh Girl,Paul Young,Oh Girl,Paul Young
On The Dark Side,John Cafferty,On the Dark Side,John Cafferty & the Beaver Brown Band
On The Hotline,Pretty Ricky,On the Hotline,Pretty Ricky
One Moment In Time,Whitney Houston,One Moment in Time,Whitney Houston
One Time,Justin Bieber,One Time,Justin Bieber
One Woman,Jade,One Woman,Jade
Only Wanna Be With You,Hootie and The Blowfish,Only Wanna Be with You,Hootie & The Blowfish
Only Yesterday,Carpenters,Only Yesterday,Carpenters
Only You,Ringo Starr,Only You (And You Alone),Ringo Starr
Ooh Baby Baby,Linda Ronstadt,Ooh Baby Baby - 1999 Remaster,Linda Ronstadt
Ordinary People,John Legend,Ordinary People,John Legend
Outta Control,50 Cent,Outta Control - Remix,"50 Cent, Mobb Deep"
Outta My System,Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),"Bow Wow, T-Pain, Johnta Austin"
"Painted, Tainted Rose",Al Martino,"Painted, Tainted Rose - Remastered",Al Martino
Papa Was A Rolling Stone,Temptations,Papa Was A Rolling Stone,The Temptations
Paradise City,Guns N' Roses,Paradise City,Guns N' Roses
Paralyzer,Finger Eleven,Paralyzer,Finger Eleven
Partition,Beyonce,Partition,Beyoncé
Pass The Dutchie,Musical Youth,Pass The Dutchie,Musical Youth
Peaceful,Helen Reddy,Peaceful,Helen Reddy
Penny Lover,Lionel Richie,Penny Lover,Lionel Richie
People Are Crazy,Billy Currington,People Are Crazy,Billy Currington
Photograph,Def Leppard,"Photograph - Live At The LA Forum, USA / 1983",Def Leppard
Piece Of Me,Britney Spears,Piece of Me,Britney Spears
Piece Of My Heart,Big Brother and The Holding Company,Piece of My Heart,"Big Brother & The Holding Company, Janis Joplin"
Pink Houses,John Cougar Mellencamp,Pink Houses,John Mellencamp
Place In This World,Michael W. Smith,Place In This World,Michael W. Smith
Please Don't Go,Mike Posner,Please Don't Go,Mike Posner
Poetry In Motion,Johnny Tillotson,Poetry In Motion - 1960 #2 Billboard chart hit,Johnny Tillotson
Poison,Alice Cooper,Poison,Alice Cooper
Polk Salad Annie,Tony Joe White,Polk Salad Annie,Tony Joe White
Pop Champagne,Jim Jones,Pop Champagne (feat. Juelz Santana) - Explicit Album Version,"Jim Jones, Ron Browz, Juelz Santana"
Pretty Wings,Maxwell,Pretty Wings - uncut,Maxwell
Price Tag,Jessie J,Price Tag - Doman & Gooding Remix,"Jessie J, B.o.B, Doman & Gooding"
Private Dancer,Tina Turner,Private Dancer - 2015 Remaster,Tina Turner
Promises,Eric Clapton,Promises,Eric Clapton
Prove Your Love,Taylor Dayne,Prove Your Love,Taylor Dayne
Psychedelic Shack,Temptations,Psychedelic Shack,The Temptations
Pump It,Black Eyed Peas,Pump It,Black Eyed Peas
Put that Woman First,Jaheim,Put That Woman First,Jaheim
Rain on Me,Ashanti,Rain On Me,Ashanti
Rainy Day Women #12 And 35,Bob Dylan,Rainy Day Women #12 & 35,Bob Dylan
Raise The Roof,Luke,Raise the Roof,"Luke, No Good But So Good"
Ramblin' Man,Allman Brothers,Ramblin' Man,Allman Brothers Band
Real Good Man,Tim McGraw,Real Good Man,Tim McGraw
Real Love,Mary J. Blige,Real Love,Mary J. Blige
Real Real Real,Jesus Jones,Real Real Real,Jesus Jones
Reason To Believe,Rod Stewart,(Find A) Reason To Believe,Rod Stewart
Rebirth Of Slick,Digable Planets,Rebirth Of Slick (Cool Like Dat),Digable Planets
Red Dirt Road,Brooks and Dunn,Red Dirt Road,Brooks & Dunn
Red Solo Cup,Toby Keith,Red Solo Cup,Toby Keith
Redneck Woman,Gretchen Wilson,Redneck Woman,Gretchen Wilson
Refugee,Tom Petty and The Heartbreakers,Refugee,Tom Petty and the Heartbreakers
Remember When,Alan Jackson,Remember When,Alan Jackson
Replay,Iyaz,Replay,Iyaz
Respect Yourself,Bruce Willis,Respect Yourself,Bruce Willis
Revolution,Beatles,Revolution - Remastered 2009,The Beatles
Rhiannon,Fleetwood Mac,Rhiannon,Fleetwood Mac
Riders On The Storm,Doors,Riders on the Storm,The Doors
Right Above It,Lil Wayne,Right Above It,"Lil Wayne, Drake"
Right On Track,Breakfast Club,Right On Track,Breakfast Club
Ring Of Fire,Johnny Cash,Ring of Fire,Johnny Cash
Rock And Roll All Nite,Kiss,Rock & Roll All Nite - Live,KISS
Rock And Roll Music,Beach Boys,Rock And Roll Music - Remastered,The Beach Boys
Rock Me Tonite,Billy Squier,Rock Me Tonite,Billy Squier
Rock Wit'cha,Bobby Brown,Rock Wit'cha,Bobby Brown
Rock the Boat,Aaliyah,Rock The Boat,Aaliyah
Rockin' Pneumonia And The Boogie Woogie Flu,Johnny Rivers,Rockin' Pneumonia And The Boogie Woogie Flu,Johnny Rivers
Rockin' That Thang,The-Dream,Rockin' That Thang,The-Dream
Roll Out,Ludacris,Roll Out,Hip Hop Bebop Junction
Roni,Bobby Brown,Roni,Bobby Brown
Round And Round,Tevin Campbell,Round and Round,Tevin Campbell
Roundabout,Yes,Roundabout - 2003 Remaster,Yes
"Ruby, Don't Take Your Love To Town",Kenny Rogers,Ruby Don't Take Your Love To Town,Kenny Rogers
Runaway,Janet Jackson,Runaway,Janet Jackson
Runnin' Outta Moonlight,Randy Houser,Runnin' Outta Moonlight,Randy Houser
Running On Empty,Jackson Browne,Running on Empty,Jackson Browne
Sail On,Commodores,Sail On,Commodores
Same Girl,R. Kelly,Come On - Make May Name,Dana Tusk
Same Old Lang Syne,Dan Fogelberg,Same Old Lang Syne,Dan Fogelberg
Sara,Fleetwood Mac,Sara,Fleetwood Mac
Satisfy You,Puff Daddy,Satisfy You - Remix Instrumental,"Diddy, R. Kelly"
Saturday In The Park,Chicago,Saturday in the Park - 2002 Remaster,Chicago
Say Hey,Michael Franti and Spearhead,Say Hey (I Love You) (feat. Cherine Tanya Anderson),"Michael Franti & Spearhead, Cherine Tanya Anderson"
Say Something,Timbaland,Say Something (Featuring Drake),"Timbaland, Drake"
Say Yes,Floetry,Say Yes,Floetry
Sea Of Heartbreak,Don Gibson,Sea of Heartbreak,Don Gibson
Sealed With A Kiss,Gary Lewis and The Playboys,Sealed With A Kiss - Remastered,Gary Lewis & The Playboys
Sealed With A Kiss,Bobby Vinton,Sealed with a Kiss,Bobby Vinton
Secret,Madonna,Secret,Madonna
Secret Garden,Bruce Springsteen,Secret Garden,Bruce Springsteen
Secrets,OneRepublic,Secrets,OneRepublic
Sentimental Street,Night Ranger,Sentimental Street,Night Ranger
September,"Earth, Wind and Fire",September,"Earth\, Wind & Fire"
September Morn,Neil Diamond,September Morn,Neil Diamond
Serpentine Fire,"Earth, Wind and Fire",Serpentine Fire,"Earth\, Wind & Fire"
Seven Year Ache,Rosanne Cash,Seven Year Ache,Rosanne Cash
Shapes Of Things,Yardbirds,Shapes of Things - 2015 Remaster,The Yardbirds
She Knows,Ne-Yo,She Knows,"Ne-Yo, Juicy J"
She Looks So Perfect,5 Seconds Of Summer,She Looks So Perfect,5 Seconds of Summer
She Wants To Dance With Me,Rick Astley,She Wants To Dance With Me,Rick Astley
She Will,Lil Wayne,She Will,"Lil Wayne, Drake"
She's Gone,Daryl Hall and John Oates,She's Gone,Daryl Hall & John Oates
She's Got You,Patsy Cline,She's Got You - Single Version,Patsy Cline
She's Just My Style,Gary Lewis and The Playboys,She's Just My Style - Remastered,Gary Lewis & The Playboys
Ships,Barry Manilow,Ships,Barry Manilow
Shoeshine Boy,Eddie Kendricks,Shoeshine Boy,Eddie Kendricks
Should I Do It,Pointer Sisters,Should I Do It,The Pointer Sisters
Should've Never Let You Go,Neil Sedaka,Should've Never Let You Go,"Neil Sedaka, Dara Sedaka"
Shut Down,Beach Boys,Shut Down - Remastered 2001,The Beach Boys
Shut Up And Drive,Rihanna,Shut Up And Drive,Rihanna
Silent Lucidity,Queensryche,Silent Lucidity - Remastered 2003,Queensrÿche
Sing For The Moment,Eminem,Sing For The Moment,Eminem
Sk8er Boi,Avril Lavigne,Sk8er Boi,Avril Lavigne
Sleeping Bag,ZZ Top,Sleeping Bag,ZZ Top
Slow Ride,Foghat,Slow Ride,Foghat
Smoky Mountain Rain,Ronnie Milsap,Smoky Mountain Rain,Ronnie Milsap
Smooth Criminal,Michael Jackson,Smooth Criminal - 2012 Remaster,Michael Jackson
Snow,Red Hot Chili Peppers,Snow (Hey Oh),Red Hot Chili Peppers
So Anxious,Ginuwine,So Anxious,Ginuwine
"So Fresh, So Clean",Outkast,"So Fresh, So Clean",Outkast
So Very Hard To Go,Tower Of Power,So Very Hard to Go,Tower Of Power
Society's Child,Janis Ian,Society's Child (Baby I've Been Thinking) - Single Version,Janis Ian
Solid,Ashford and Simpson,Solid,Ashford & Simpson
Someone,SWV,Someone (feat. Puff Daddy),"SWV, Diddy"
Someone Saved My Life Tonight,Elton John,Someone Saved My Life Tonight,Elton John
Somethin' 'Bout A Truck,Kip Moore,Somethin' 'Bout A Truck,Kip Moore
Somethin' Bad,Miranda Lambert,Somethin' Bad (with Carrie Underwood) - Duet with Carrie Underwood [Album],"Miranda Lambert, Carrie Underwood"
Something,Beatles,Something - Remastered 2009,The Beatles
Something So Strong,Crowded House,Something So Strong,Crowded House
Something To Believe In,Poison,Something To Believe In - Remastered 1996,Poison
Sometimes,Britney Spears,Sometimes,Britney Spears
Somewhere In The Night,Barry Manilow,Somewhere In The Night,Barry Manilow
Soon As I Get Home,Faith Evans,Soon as I Get Home,Faith Evans
Sorry Seems To Be The Hardest Word,Elton John,Sorry Seems To Be The Hardest Word,Elton John
Soul Deep,Box Tops,Soul Deep,The Box Tops
Soul Survivor,Young Jeezy,Soul Survivor,"Jeezy, Akon"
Southern Hospitality,Ludacris,Southern Hospitality,"Ludacris, Pharrell"
Space Oddity,David Bowie,Space Oddity - 2015 Remaster,David Bowie
Speak To The Sky,Rick Springfield,Speak to the Sky,Rick Springfield
Spice Up Your Life,Spice Girls,Spice Up Your Life,Spice Girls
Spies Like Us,Paul McCartney,Spies Like Us - 2022 Remaster,Paul McCartney
Stairway To Heaven,Neil Sedaka,Stairway to Heaven,Neil Sedaka
Stand By Me,Mickey Gilley,Stand By Me - Single Version,Mickey Gilley
Stay The Night,Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams"
Steal My Sunshine,Len,Steal My Sunshine,LEN
Step In The Name Of Love,R. Kelly,Step In the Name of Love,R. Kelly
Step In The Name Of Love,R. Kelly,Step In the Name of Love,R. Kelly
Steppin' Out,Joe Jackson,Steppin' Out,Joe Jackson
Still The One,Orleans,Still the One,Orleans
Stir It Up,Johnny Nash,STIR IT UP,Johnny Nash
Strange Way,Firefall,Strange Way,Firefall
Stuck Like Glue,Sugarland,Stuck Like Glue,Sugarland
Suddenly,Olivia Newton-John,Suddenly - Live,Olivia Newton-John
Sugar Walls,Sheena Easton,Sugar Walls,Sheena Easton
Superman,Eminem,Superman,"Eminem, Dina Rae"
Sure Be Cool If You Did,Blake Shelton,Sure Be Cool If You Did,Blake Shelton
Surfin' Safari,Beach Boys,Surfin' Safari - Mono/Remastered 2001,The Beach Boys
Suspicions,Eddie Rabbitt,Suspicions,Eddie Rabbitt
Swearin' To God,Frankie Valli,Swearin' to God - Single Version,Frankie Valli
Sweat,Inner Circle,Sweat (A La La La La Long),Inner Circle
Sweet Baby,Stanley Clarke,Sweet Baby,"Stanley Clarke, George Duke"
Sweet Dreams,Beyonce,Sweet Dreams,Beyoncé
Sweet Love,Anita Baker,Sweet Love,Anita Baker
Sweet Talking Woman,Electric Light Orchestra,Sweet Talking Woman - Live,"ELO, Electric Light Orchestra Part 2"
Swing The Mood,Jive Bunny,Swing The Mood,Jive Bunny and the Mastermixers
TRUE,Spandau Ballet,True - Single Edit,Spandau Ballet
Take A Back Road,Rodney Atkins,Take A Back Road,Rodney Atkins
Take A Little Ride,Jason Aldean,Take a Little Ride,Jason Aldean
Take Me Back,Little Anthony and The Imperials,Take Me Back,Little Anthony & The Imperials
Take Me Home,Phil Collins,Take Me Home - 2016 Remaster,Phil Collins
Take The Long Way Home,Supertramp,Take The Long Way Home - 2010 Remastered,Supertramp
Take The Money And Run,Steve Miller Band,Take The Money And Run - Remastered 2017,Steve Miller Band
Take These Chains From My Heart,Ray Charles,Take These Chains From My Heart,Ray Charles
Take This Heart,Richard Marx,Take This Heart,Richard Marx
Taxi,Harry Chapin,Taxi,Harry Chapin
Tear The Roof Off The Sucker,Parliament,Tear The Roof Off The Sucker Medley - Live / 1977,Parliament
Teardrops On My Guitar,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,Taylor Swift
Tell It Like It Is,Aaron Neville,Tell it like it is,Aaron Neville
Tell It Like It Is,Heart,Tell It Like It Is,Heart
Tender Love,Force M.D.'s,Tender Love,Force M.D.'s
Thank The Lord For The Night Time,Neil Diamond,Thank The Lord For The Night Time,Neil Diamond
Thank You,Boyz II Men,Thank You,Boyz II Men
That Girl,Maxi Priest,That Girl,"Maxi Priest, Shaggy"
"That Sunday, That Summer",Nat King Cole,"That Sunday, That Summer - 2003 Digital Remaster; 24 Bit Mastering",Nat King Cole
That's My Kind Of Night,Luke Bryan,That's My Kind Of Night,Luke Bryan
That's That,Snoop Dogg,That's That Shit,"Snoop Dogg, R. Kelly"
That's What Love Is For,Amy Grant,That's What Love Is For,Amy Grant
The Beach Boys Medley,Beach Boys,The Beach Boys Medley,CDM Beach Combers
The Beat Goes On,Sonny and Cher,The Beat Goes On,Sonny & Cher
The Best Day,George Strait,The Best Day,George Strait
The Boss,Diana Ross,The Boss,Diana Ross
The Boss,Rick Ross,The Boss,"Rick Ross, T-Pain"
The Boys Are Back In Town,Thin Lizzy,The Boys Are Back In Town,Thin Lizzy
The Door Is Still Open To My Heart,Dean Martin,The Door Is Still Open to My Heart,Dean Martin
The End Of The Innocence,Don Henley,The End Of The Innocence,Don Henley
The Finer Things,Steve Winwood,The Finer Things - 2010 Remaster,Steve Winwood
The Good Stuff,Kenny Chesney,The Good Stuff,Kenny Chesney
The Great Escape,Boys Like Girls,The Great Escape,Boys Like Girls
The Hanging Tree,James Newton Howard,The Hanging Tree,"James Newton Howard, Jennifer Lawrence"
The House That Built Me,Miranda Lambert,The House That Built Me,Miranda Lambert
The Last Time,Rolling Stones,The Last Time - Mono Version,The Rolling Stones
The Letter,Joe Cocker,The Letter - Live At The Fillmore East/1970,Joe Cocker
The Longest Time,Billy Joel,The Longest Time,Billy Joel
The Mighty Quinn,Manfred Mann,The Mighty Quinn,Manfred Mann
The More I See You,Chris Montez,The More I See You,Chris Montez
The Motown Song,Rod Stewart,The Motown Song (with The Temptations),"Rod Stewart, The Temptations"
The Mummers' Dance,Loreena McKennitt,The Mask and Mirror - Single Version,Loreena McKennitt
The Name Of The Game,ABBA,The Name Of The Game,ABBA
The Next Episode,Dr. Dre,The Next Episode,"Dr. Dre, Snoop Dogg"
The One And Only,Chesney Hawkes,The One And Only,Chesney Hawkes
The One I Gave My Heart To,Aaliyah,The One I Gave My Heart To,Aaliyah
The One I Gave My Heart To,Aaliyah,The One I Gave My Heart To,Aaliyah
The Rubberband Man,Spinners,The Rubberband Man,The Spinners
The Shelter Of Your Arms,Sammy Davis Jr.,The Shelter of Your Arms,Sammy Davis Jr.
The Stroke,Billy Squier,The Stroke,Billy Squier
The Thrill Is Gone,B.B. King,The Thrill Is Gone,B.B. King
The Twelfth Of Never,Donny Osmond,The Twelfth Of Never,Donny Osmond
The Unicorn,Irish Rovers,The Unicorn,The Irish Rovers
The Valley Road,Bruce Hornsby and The Range,The Valley Road - Remastered,"Bruce Hornsby, The Range"
The Witch Queen Of New Orleans,Redbone,The Witch Queen of New Orleans,Redbone
Then,Brad Paisley,Then,Brad Paisley
There Goes My Baby,Usher,There Goes My Baby,Usher
There! I've Said It Again,Bobby Vinton,There! I've Said It Again,Bobby Vinton
These Words,Natasha Bedingfield,These Words,Natasha Bedingfield
They Want EFX,Das EFX,They Want EFX,Das EFX
Think,Aretha Franklin,Think,Aretha Franklin
Think Of Laura,Christopher Cross,Think of Laura,Christopher Cross
Think Twice,Brook Benton,Think Twice,Brook Benton
Thinkin' Bout It,Gerald Levert,Thinkin' Bout It,Gerald Levert
This One's For The Children,New Kids On The Block,This One's for the Children,New Kids On The Block
Thriller,Michael Jackson,Thriller,Michael Jackson
Through The Years,Kenny Rogers,Through The Years,Kenny Rogers
Thugz Mansion,2Pac,Thugz Mansion - 7 Remix,"2Pac, Anthony Hamilton"
"Tie Me Kangaroo Down, Sport",Rolf Harris,Tie Me Kangaroo Down Sport,Rolf Harris
Time Is Time,Andy Gibb,Time Is Time,Andy Gibb
Time Passages,Al Stewart,Time Passages,Al Stewart
Time Will Reveal,Debarge,Time Will Reveal,DeBarge
To Love Somebody,Michael Bolton,To Love Somebody,Michael Bolton
Today Was A Fairytale,Taylor Swift,Today Was A Fairytale (Taylor’s Version),Taylor Swift
Tonight,Kool and The Gang,Tonight,Kool & The Gang
Tonight I Celebrate My Love,Peabo Bryson,Tonight I Celebrate My Love,"Peabo Bryson, Roberta Flack"
"Tonight My Love, Tonight",Paul Anka,"Tonight My Love, Tonight",Paul Anka
Tonight She Comes,Cars,Tonight She Comes - 2017 Remaster,The Cars
Too Many Rivers,Brenda Lee,Too Many Rivers,Brenda Lee
Town Without Pity,Gene Pitney,Town Without Pity,Gene Pitney
Treat Me Right,Pat Benatar,Treat Me Right,Pat Benatar
Troublemaker,Olly Murs,Troublemaker,Olly Murs
True Blue,Madonna,True Blue,Madonna
True Love Ways,Peter and Gordon,True Love Ways - 2002 Remaster,Peter And Gordon
Tryin' To Get The Feeling Again,Barry Manilow,Tryin' to Get the Feeling Again,Barry Manilow
